Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga (Rp)
13,Sumatera Barat,Telur Ayam Ras,2022,Maret,"Rp19,291"
14,Riau,Telur Ayam Ras,2022,Maret,"Rp20,000"
15,Jambi,Telur Ayam Ras,2022,Maret,
16,Sumatera Selatan,Telur Ayam Ras,2022,Maret,"Rp20,036"
17,Bengkulu,Telur Ayam Ras,2022,Maret,
18,Lampung,Telur Ayam Ras,2022,Maret,"Rp21,339"
21,Kepulauan Riau,Telur Ayam Ras,2022,Maret,
32,Jawa Barat,Telur Ayam Ras,2022,Maret,"Rp20,371"
33,Jawa Tengah,Telur Ayam Ras,2022,Maret,"Rp21,308"
34,D.I Yogyakarta,Telur Ayam Ras,2022,Maret,
35,Jawa Timur,Telur Ayam Ras,2022,Maret,"Rp20,201"
36,Banten,Telur Ayam Ras,2022,Maret,"Rp19,285"
51,Bali,Telur Ayam Ras,2022,Maret,"Rp18,312"
52,Nusa Tenggara Barat,Telur Ayam Ras,2022,Maret,
53,Nusa Tenggara Timur,Telur Ayam Ras,2022,Maret,
61,Kalimantan Barat,Telur Ayam Ras,2022,Maret,"Rp20,679"
62,Kalimantan Tengah,Telur Ayam Ras,2022,Maret,
63,Kalimantan Selatan,Telur Ayam Ras,2022,Maret,"Rp21,826"
64,Kalimantan Timur,Telur Ayam Ras,2022,Maret,
71,Sulawesi Utara,Telur Ayam Ras,2022,Maret,
72,Sulawesi Tengah,Telur Ayam Ras,2022,Maret,
73,Sulawesi Selatan,Telur Ayam Ras,2022,Maret,"Rp17,955"
74,Sulawesi Tenggara,Telur Ayam Ras,2022,Maret,
75,Gorontalo,Telur Ayam Ras,2022,Maret,
76,Sulawesi Barat,Telur Ayam Ras,2022,Maret,
11,Aceh,Cabai Rawit Merah,2022,April,
12,Sumatera Utara,Cabai Rawit Merah,2022,April,"Rp27,000"
13,Sumatera Barat,Cabai Rawit Merah,2022,April,
14,Riau,Cabai Rawit Merah,2022,April,
15,Jambi,Cabai Rawit Merah,2022,April,
16,Sumatera Selatan,Cabai Rawit Merah,2022,April,
17,Bengkulu,Cabai Rawit Merah,2022,April,
18,Lampung,Cabai Rawit Merah,2022,April,
21,Kepulauan Riau,Cabai Rawit Merah,2022,April,
32,Jawa Barat,Cabai Rawit Merah,2022,April,"Rp26,788"
33,Jawa Tengah,Cabai Rawit Merah,2022,April,"Rp20,700"
34,D.I Yogyakarta,Cabai Rawit Merah,2022,April,"Rp27,247"
35,Jawa Timur,Cabai Rawit Merah,2022,April,"Rp20,180"
36,Banten,Cabai Rawit Merah,2022,April,
51,Bali,Cabai Rawit Merah,2022,April,"Rp25,187"
52,Nusa Tenggara Barat,Cabai Rawit Merah,2022,April,"Rp36,511"
53,Nusa Tenggara Timur,Cabai Rawit Merah,2022,April,
61,Kalimantan Barat,Cabai Rawit Merah,2022,April,
62,Kalimantan Tengah,Cabai Rawit Merah,2022,April,
63,Kalimantan Selatan,Cabai Rawit Merah,2022,April,
64,Kalimantan Timur,Cabai Rawit Merah,2022,April,
71,Sulawesi Utara,Cabai Rawit Merah,2022,April,"Rp40,895"
72,Sulawesi Tengah,Cabai Rawit Merah,2022,April,"Rp31,392"
73,Sulawesi Selatan,Cabai Rawit Merah,2022,April,"Rp24,504"
74,Sulawesi Tenggara,Cabai Rawit Merah,2022,April,
75,Gorontalo,Cabai Rawit Merah,2022,April,
76,Sulawesi Barat,Cabai Rawit Merah,2022,April,
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp53,938"
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp49,903"
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp53,809"
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,April,
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp51,967"
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp50,393"
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2022,April,
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp51,087"
21,Kepulauan Riau,Sapi Hidup (Tingkat Peternak/RPH),2022,April,
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp54,381"
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp49,880"
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2022,April,
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp48,895"
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp57,153"
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2022,April,"Rp42,526"
