tanggal,komoditas,provinsi,harga
3/16/2023,Daging Sapi Murni,Aceh,153158
3/17/2023,Daging Sapi Murni,Aceh,154500
3/18/2023,Daging Sapi Murni,Aceh,155000
3/19/2023,Daging Sapi Murni,Aceh,158571
3/20/2023,Daging Sapi Murni,Aceh,164091
3/21/2023,Daging Sapi Murni,Aceh,175000
3/22/2023,Daging Sapi Murni,Aceh,170476
3/23/2023,Daging Sapi Murni,Aceh,157368
3/24/2023,Daging Sapi Murni,Aceh,156842
3/25/2023,Daging Sapi Murni,Aceh,157059
3/26/2023,Daging Sapi Murni,Aceh,156316
3/27/2023,Daging Sapi Murni,Aceh,156500
3/28/2023,Daging Sapi Murni,Aceh,155500
3/29/2023,Daging Sapi Murni,Aceh,154737
3/30/2023,Daging Sapi Murni,Aceh,155000
3/31/2023,Daging Sapi Murni,Aceh,154500
4/1/2023,Daging Sapi Murni,Aceh,154211
4/2/2023,Daging Sapi Murni,Aceh,154500
4/3/2023,Daging Sapi Murni,Aceh,154500
4/4/2023,Daging Sapi Murni,Aceh,154000
4/5/2023,Daging Sapi Murni,Aceh,154737
4/6/2023,Daging Sapi Murni,Aceh,154000
4/7/2023,Daging Sapi Murni,Aceh,154211
4/8/2023,Daging Sapi Murni,Aceh,154000
4/9/2023,Daging Sapi Murni,Aceh,154000
4/10/2023,Daging Sapi Murni,Aceh,153684
4/11/2023,Daging Sapi Murni,Aceh,154211
4/12/2023,Daging Sapi Murni,Aceh,154737
4/13/2023,Daging Sapi Murni,Aceh,154000
4/14/2023,Daging Sapi Murni,Aceh,154000
4/15/2023,Daging Sapi Murni,Aceh,154500
4/16/2023,Daging Sapi Murni,Aceh,154500
4/17/2023,Daging Sapi Murni,Aceh,155500
4/18/2023,Daging Sapi Murni,Aceh,156000
4/19/2023,Daging Sapi Murni,Aceh,161500
4/20/2023,Daging Sapi Murni,Aceh,174545
4/21/2023,Daging Sapi Murni,Aceh,176667
4/22/2023,Daging Sapi Murni,Aceh,160000
4/23/2023,Daging Sapi Murni,Aceh,160000
4/24/2023,Daging Sapi Murni,Aceh,157143
4/25/2023,Daging Sapi Murni,Aceh,153846
4/26/2023,Daging Sapi Murni,Aceh,154706
4/27/2023,Daging Sapi Murni,Aceh,155556
4/28/2023,Daging Sapi Murni,Aceh,155000
4/29/2023,Daging Sapi Murni,Aceh,154737
4/30/2023,Daging Sapi Murni,Aceh,154211
5/1/2023,Daging Sapi Murni,Aceh,154500
5/2/2023,Daging Sapi Murni,Aceh,153684
5/3/2023,Daging Sapi Murni,Aceh,153500
5/4/2023,Daging Sapi Murni,Aceh,152632
5/5/2023,Daging Sapi Murni,Aceh,153000
5/6/2023,Daging Sapi Murni,Aceh,153158
5/7/2023,Daging Sapi Murni,Aceh,152222
5/8/2023,Daging Sapi Murni,Aceh,153500
5/9/2023,Daging Sapi Murni,Aceh,153000
5/10/2023,Daging Sapi Murni,Aceh,152632
5/11/2023,Daging Sapi Murni,Aceh,153000
5/12/2023,Daging Sapi Murni,Aceh,153158
5/13/2023,Daging Sapi Murni,Aceh,152222
5/14/2023,Daging Sapi Murni,Aceh,153000
5/15/2023,Daging Sapi Murni,Aceh,153333
5/16/2023,Daging Sapi Murni,Aceh,153500
5/17/2023,Daging Sapi Murni,Aceh,153684
5/18/2023,Daging Sapi Murni,Aceh,153500
5/19/2023,Daging Sapi Murni,Aceh,153333
5/20/2023,Daging Sapi Murni,Aceh,153500
5/21/2023,Daging Sapi Murni,Aceh,154737
5/22/2023,Daging Sapi Murni,Aceh,153500
5/23/2023,Daging Sapi Murni,Aceh,153684
5/24/2023,Daging Sapi Murni,Aceh,154000
5/25/2023,Daging Sapi Murni,Aceh,154000
5/26/2023,Daging Sapi Murni,Aceh,153500
5/27/2023,Daging Sapi Murni,Aceh,154211
5/28/2023,Daging Sapi Murni,Aceh,153684
5/29/2023,Daging Sapi Murni,Aceh,153500
5/30/2023,Daging Sapi Murni,Aceh,153810
5/31/2023,Daging Sapi Murni,Aceh,154211
6/1/2023,Daging Sapi Murni,Aceh,154211
6/2/2023,Daging Sapi Murni,Aceh,154737
