Kode Provinsi,Nama Provinsi,Tahun,Bulan,Curah Hujan
17,Bengkulu,2023,Desember,9.56
18,Lampung,2023,Januari,11.03
18,Lampung,2023,Februari,5.88
18,Lampung,2023,Maret,9.55
18,Lampung,2023,April,3.88
18,Lampung,2023,Mei,5.15
18,Lampung,2023,Juni,4.34
18,Lampung,2023,Juli,6.45
18,Lampung,2023,Agustus,2.02
18,Lampung,2023,September,0.15
18,Lampung,2023,Oktober,0.21
18,Lampung,2023,November,3.37
18,Lampung,2023,Desember,6.63
19,Kepulauan Bangka Belitung,2023,Januari,8.62
19,Kepulauan Bangka Belitung,2023,Februari,7.49
19,Kepulauan Bangka Belitung,2023,Maret,9.7
19,Kepulauan Bangka Belitung,2023,April,7.25
19,Kepulauan Bangka Belitung,2023,Mei,8.76
19,Kepulauan Bangka Belitung,2023,Juni,5
19,Kepulauan Bangka Belitung,2023,Juli,5.66
19,Kepulauan Bangka Belitung,2023,Agustus,1.6
19,Kepulauan Bangka Belitung,2023,September,0.37
19,Kepulauan Bangka Belitung,2023,Oktober,1.44
19,Kepulauan Bangka Belitung,2023,November,6.46
19,Kepulauan Bangka Belitung,2023,Desember,8.06
21,Kepulauan Riau,2023,Januari,7.2
21,Kepulauan Riau,2023,Februari,4.18
21,Kepulauan Riau,2023,Maret,4.42
21,Kepulauan Riau,2023,April,1.34
21,Kepulauan Riau,2023,Mei,1.55
21,Kepulauan Riau,2023,Juni,3.13
21,Kepulauan Riau,2023,Juli,5.51
21,Kepulauan Riau,2023,Agustus,2.21
21,Kepulauan Riau,2023,September,4.6
21,Kepulauan Riau,2023,Oktober,2.85
21,Kepulauan Riau,2023,November,7.35
21,Kepulauan Riau,2023,Desember,5.09
31,DKI Jakarta,2023,Januari,5.47
31,DKI Jakarta,2023,Februari,15.79
31,DKI Jakarta,2023,Maret,7.45
31,DKI Jakarta,2023,April,3.82
31,DKI Jakarta,2023,Mei,5.56
31,DKI Jakarta,2023,Juni,3.57
31,DKI Jakarta,2023,Juli,1.24
31,DKI Jakarta,2023,Agustus,0.56
31,DKI Jakarta,2023,September,0.07
31,DKI Jakarta,2023,Oktober,1.11
31,DKI Jakarta,2023,November,5.55
31,DKI Jakarta,2023,Desember,4.14
32,Jawa Barat,2023,Januari,6.7
32,Jawa Barat,2023,Februari,12.08
32,Jawa Barat,2023,Maret,8.79
32,Jawa Barat,2023,April,8.77
32,Jawa Barat,2023,Mei,3.84
32,Jawa Barat,2023,Juni,3.04
32,Jawa Barat,2023,Juli,1.35
32,Jawa Barat,2023,Agustus,0.32
32,Jawa Barat,2023,September,0.12
32,Jawa Barat,2023,Oktober,1
32,Jawa Barat,2023,November,6.67
32,Jawa Barat,2023,Desember,6.82
33,Jawa Tengah,2023,Januari,6.54
33,Jawa Tengah,2023,Februari,7.38
33,Jawa Tengah,2023,Maret,7.66
33,Jawa Tengah,2023,April,11.39
33,Jawa Tengah,2023,Mei,4.68
33,Jawa Tengah,2023,Juni,4.05
33,Jawa Tengah,2023,Juli,3.27
33,Jawa Tengah,2023,Agustus,0.23
33,Jawa Tengah,2023,September,0.08
33,Jawa Tengah,2023,Oktober,0.42
33,Jawa Tengah,2023,November,8.17
33,Jawa Tengah,2023,Desember,5.3
34,DI Yogyakarta,2023,Januari,7.56
34,DI Yogyakarta,2023,Februari,13.87
34,DI Yogyakarta,2023,Maret,10.03
34,DI Yogyakarta,2023,April,9.17
34,DI Yogyakarta,2023,Mei,5.54
34,DI Yogyakarta,2023,Juni,3.24
34,DI Yogyakarta,2023,Juli,3.55
34,DI Yogyakarta,2023,Agustus,0.28
34,DI Yogyakarta,2023,September,0.11
34,DI Yogyakarta,2023,Oktober,0.55
34,DI Yogyakarta,2023,November,7.46
34,DI Yogyakarta,2023,Desember,9.41
35,Jawa Timur,2023,Januari,9.84
35,Jawa Timur,2023,Februari,16.7
35,Jawa Timur,2023,Maret,6.82
35,Jawa Timur,2023,April,8.58
35,Jawa Timur,2023,Mei,2.22
35,Jawa Timur,2023,Juni,0.51
35,Jawa Timur,2023,Juli,2.31
35,Jawa Timur,2023,Agustus,0.08
35,Jawa Timur,2023,September,0.04
35,Jawa Timur,2023,Oktober,0.07
35,Jawa Timur,2023,November,3.47
35,Jawa Timur,2023,Desember,24.8
36,Banten,2023,Januari,5.46
36,Banten,2023,Februari,15.45
36,Banten,2023,Maret,8.02
36,Banten,2023,April,4.75
36,Banten,2023,Mei,5.15
36,Banten,2023,Juni,4.58
36,Banten,2023,Juli,2.47
36,Banten,2023,Agustus,0.79
36,Banten,2023,September,0.1
36,Banten,2023,Oktober,1.24
36,Banten,2023,November,7.97
36,Banten,2023,Desember,4.55
51,Bali,2023,Januari,8.27
51,Bali,2023,Februari,15.48
51,Bali,2023,Maret,4.85
51,Bali,2023,April,4.34
51,Bali,2023,Mei,0.68
51,Bali,2023,Juni,0.96
51,Bali,2023,Juli,4.64
