Kode Provinsi,Nama Provinsi,Komoditas,Bulan,Tahun,Produksi (Ton),Harga
19,KEPULAUAN BANGKA BELITUNG,Cabai Rawit Merah,Maret,2022,288,"Rp85,460"
21,KEPULAUAN RIAU,Cabai Rawit Merah,Maret,2022,170,"Rp77,067"
31,DKI JAKARTA,Cabai Rawit Merah,Maret,2022,,"Rp69,272"
32,JAWA BARAT,Cabai Rawit Merah,Maret,2022,20645,"Rp59,328"
33,JAWA TENGAH,Cabai Rawit Merah,Maret,2022,23452,"Rp47,925"
34,DI YOGYAKARTA,Cabai Rawit Merah,Maret,2022,801,"Rp48,642"
35,JAWA TIMUR,Cabai Rawit Merah,Maret,2022,54740,"Rp49,486"
36,BANTEN,Cabai Rawit Merah,Maret,2022,734,"Rp59,546"
51,BALI,Cabai Rawit Merah,Maret,2022,2390,"Rp54,113"
52,NUSA TENGGARA BARAT,Cabai Rawit Merah,Maret,2022,3725,"Rp62,378"
53,NUSA TENGGARA TIMUR,Cabai Rawit Merah,Maret,2022,1175,"Rp45,851"
61,KALIMANTAN BARAT,Cabai Rawit Merah,Maret,2022,696,"Rp79,715"
62,KALIMANTAN TENGAH,Cabai Rawit Merah,Maret,2022,500,"Rp84,332"
63,KALIMANTAN SELATAN,Cabai Rawit Merah,Maret,2022,683,"Rp80,972"
64,KALIMANTAN TIMUR,Cabai Rawit Merah,Maret,2022,636,"Rp75,007"
65,KALIMANTAN UTARA,Cabai Rawit Merah,Maret,2022,571,"Rp107,527"
71,SULAWESI UTARA,Cabai Rawit Merah,Maret,2022,1724,"Rp66,648"
72,SULAWESI TENGAH,Cabai Rawit Merah,Maret,2022,2362,"Rp60,956"
73,SULAWESI SELATAN,Cabai Rawit Merah,Maret,2022,2231,"Rp48,755"
74,SULAWESI TENGGARA,Cabai Rawit Merah,Maret,2022,332,"Rp53,244"
75,GORONTALO,Cabai Rawit Merah,Maret,2022,1212,"Rp61,877"
76,SULAWESI BARAT,Cabai Rawit Merah,Maret,2022,259,"Rp53,599"
81,MALUKU,Cabai Rawit Merah,Maret,2022,394,"Rp89,973"
82,MALUKU UTARA,Cabai Rawit Merah,Maret,2022,123,"Rp86,512"
91,PAPUA BARAT,Cabai Rawit Merah,Maret,2022,310,"Rp71,552"
94,PAPUA,Cabai Rawit Merah,Maret,2022,649,"Rp93,692"
95,PAPUA PEGUNUNGAN,Cabai Rawit Merah,Maret,2022,0,
11,ACEH,Daging Ayam Ras,Maret,2022,4237,"Rp30,018"
12,SUMATERA UTARA,Daging Ayam Ras,Maret,2022,18836,"Rp33,172"
13,SUMATERA BARAT,Daging Ayam Ras,Maret,2022,5283,"Rp31,112"
14,RIAU,Daging Ayam Ras,Maret,2022,10638,"Rp33,280"
15,JAMBI,Daging Ayam Ras,Maret,2022,3980,"Rp35,696"
16,SUMATERA SELATAN,Daging Ayam Ras,Maret,2022,11251,"Rp33,544"
17,BENGKULU,Daging Ayam Ras,Maret,2022,1257,"Rp37,631"
18,LAMPUNG,Daging Ayam Ras,Maret,2022,11500,"Rp32,405"
19,KEPULAUAN BANGKA BELITUNG,Daging Ayam Ras,Maret,2022,2632,"Rp39,698"
21,KEPULAUAN RIAU,Daging Ayam Ras,Maret,2022,2514,"Rp40,157"
31,DKI JAKARTA,Daging Ayam Ras,Maret,2022,,"Rp36,283"
32,JAWA BARAT,Daging Ayam Ras,Maret,2022,65256,"Rp35,426"
33,JAWA TENGAH,Daging Ayam Ras,Maret,2022,65589,"Rp34,078"
34,DI YOGYAKARTA,Daging Ayam Ras,Maret,2022,6642,"Rp33,798"
